,Unnamed: 0,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,price_m2,month,median_price_m2_by_month_zipcode_condition,status,buy_price,sell_price
24,24,8901000445,2014-12-18,390000.0,3,1,1600,10440,1,0,3,1600,0,1954,1900,98125,47.7109,-122.311,402.1034482758621,12,700.5495867768595,buy,390000.0,0.0
25,25,9423400193,2014-12-26,473000.0,3,2,1050,7200,1,0,3,1050,0,1985,1900,98125,47.7163,-122.303,707.135,12,700.5495867768595,not buy,0.0,0.0
26,26,2926049382,2014-12-08,650000.0,3,2,2800,10501,1,0,3,1400,1400,1954,1900,98125,47.7055,-122.315,666.2794019617179,12,700.5495867768595,not buy,0.0,0.0
27,27,7663700654,2014-12-14,450000.0,4,1,1860,7808,1,0,3,1080,780,1953,1900,98125,47.7314,-122.3,620.3637295081967,12,700.5495867768595,not buy,0.0,0.0
28,28,5101407305,2014-12-18,319000.0,2,1,750,6380,1,0,3,750,0,1949,1900,98125,47.7033,-122.308,538.2,12,700.5495867768595,not buy,0.0,0.0
29,29,2926049400,2014-12-26,500000.0,4,2,2330,7778,1,0,3,1230,1100,1961,1900,98125,47.7109,-122.323,691.9516585240422,12,700.5495867768595,not buy,0.0,0.0
30,30,7663700759,2014-12-01,368000.0,3,1,1560,7884,1,0,3,1060,500,1969,1900,98125,47.7312,-122.298,502.4292237442922,12,700.5495867768595,not buy,0.0,0.0
31,31,2726049071,2014-12-11,510000.0,2,1,820,4206,1,0,3,820,0,1949,1900,98125,47.7076,-122.284,1305.1925820256777,12,700.5495867768595,not buy,0.0,0.0
32,32,5101407250,2014-12-17,630000.0,4,2,2900,9680,2,0,3,1990,910,1947,1900,98125,47.7037,-122.308,700.5495867768595,12,700.5495867768595,not buy,0.0,0.0
33,33,2126049096,2014-12-02,399000.0,3,1,1460,8290,1,0,3,1460,0,1959,1900,98125,47.7246,-122.3,518.0743063932449,12,700.5495867768595,not buy,0.0,0.0
34,34,2126049154,2014-12-17,435000.0,4,2,2160,8148,1,0,3,1410,750,1978,1900,98125,47.7261,-122.306,574.661266568483,12,700.5495867768595,not buy,0.0,0.0
35,35,6868200060,2014-12-11,565000.0,3,2,2560,8040,1,0,3,1510,1050,1958,1900,98125,47.7124,-122.303,756.4253731343283,12,700.5495867768595,not buy,0.0,0.0
36,36,2126049277,2014-12-03,500000.0,3,1,1800,7199,1,0,3,1300,500,1972,1900,98125,47.7264,-122.307,747.6038338658147,12,700.5495867768595,not buy,0.0,0.0
37,37,7715600070,2014-12-12,385000.0,3,1,1560,14288,1,0,3,780,780,1944,1900,98125,47.7183,-122.306,290.04339305711085,12,700.5495867768595,sell,385000.0,10009452.495867768
38,38,7351200050,2014-12-18,1335000.0,4,1,2300,13342,1,1,3,2300,0,1934,1958,98125,47.7308,-122.282,1077.0454204766902,12,700.5495867768595,not buy,0.0,0.0
39,39,8820902350,2014-12-03,810000.0,4,3,3470,7396,2,0,3,2520,950,1979,1900,98125,47.7146,-122.279,1178.8588426176311,12,700.5495867768595,not buy,0.0,0.0
40,40,7663700401,2014-12-20,229000.0,4,1,1820,22814,1,0,3,1820,0,1920,1900,98125,47.7321,-122.296,108.04576137459456,12,700.5495867768595,sell,229000.0,15982338.272727273
41,41,1453602310,2014-12-16,303000.0,2,1,1400,1650,3,0,3,1400,0,1999,1900,98125,47.7222,-122.29,1976.6618181818185,12,700.5495867768595,not buy,0.0,0.0
42,42,6411600411,2014-12-09,257000.0,2,1,770,7200,1,0,3,770,0,1951,1900,98125,47.7143,-122.325,384.215,12,700.5495867768595,buy,257000.0,0.0
43,43,8822901175,2014-12-29,345000.0,3,3,1320,1161,3,0,3,1320,0,2010,1900,98125,47.7162,-122.294,3198.6046511627906,12,700.5495867768595,not buy,0.0,0.0
44,44,5631500400,2015-02-25,180000.0,2,1,770,10000,1,0,3,770,0,1933,1900,98028,47.7379,-122.233,193.752,2,668.9723362076436,sell,180000.0,6689723.362076436
45,45,4140090370,2015-02-18,446500.0,4,2,3060,7920,1,0,3,1810,1250,1974,1900,98028,47.7675,-122.261,606.834090909091,2,668.9723362076436,not buy,0.0,0.0
46,46,3579700015,2015-02-27,295000.0,4,1,1400,11934,1,0,3,1050,350,1961,1900,98028,47.7346,-122.244,266.078431372549,2,668.9723362076436,sell,295000.0,7983515.860302019
47,47,3649100676,2015-02-19,570000.0,4,2,2590,7910,2,0,3,2590,0,2003,1900,98028,47.7378,-122.248,775.661188369153,2,668.9723362076436,not buy,0.0,0.0
48,48,7702020030,2015-02-25,533000.0,4,2,2590,6394,2,0,3,2590,0,2003,1900,98028,47.7599,-122.233,897.2805755395683,2,668.9723362076436,not buy,0.0,0.0
49,49,293610040,2015-02-10,600000.0,4,2,2950,5803,2,0,3,2950,0,2007,1900,98028,47.7368,-122.231,1112.9415819403755,2,668.9723362076436,not buy,0.0,0.0
50,50,253600180,2015-02-03,427500.0,4,2,2010,6294,2,0,3,2010,0,2000,1900,98028,47.776,-122.24,731.1105815061964,2,668.9723362076436,not buy,0.0,0.0
51,51,4027700799,2015-02-26,364000.0,3,2,1420,6600,1,0,3,1160,260,1987,1900,98028,47.77,-122.265,593.6509090909091,2,668.9723362076436,not buy,0.0,0.0
52,52,3824100020,2015-02-03,335000.0,3,1,1510,9720,1,0,3,1510,0,1948,1976,98028,47.7728,-122.258,370.9814814814815,2,668.9723362076436,buy,335000.0,0.0
53,53,9406500600,2015-02-05,239950.0,2,1,1068,1452,2,0,3,1068,0,1990,1900,98028,47.753,-122.244,1778.8028925619833,2,668.9723362076436,not buy,0.0,0.0
54,54,2487200875,2014-12-09,604000.0,4,3,1960,5000,1,0,5,1050,910,1965,1900,98136,47.5208,-122.393,1300.2912,12,1007.2028571428572,not buy,0.0,0.0
55,55,2493200215,2014-12-31,582000.0,3,1,1820,3140,2,0,5,1820,0,1949,1990,98136,47.5271,-122.384,1995.1108280254775,12,1007.2028571428572,not buy,0.0,0.0
56,56,1090000075,2014-12-16,393000.0,2,1,1020,4200,1,0,5,1020,0,1923,1900,98136,47.5319,-122.391,1007.2028571428572,12,1007.2028571428572,not buy,0.0,0.0
57,57,2461900550,2014-12-16,500000.0,4,1,2040,6000,1,0,5,1020,1020,1943,1900,98136,47.5507,-122.383,897.0,12,1007.2028571428572,not buy,0.0,0.0
58,58,1090000036,2014-12-23,756450.0,4,2,3210,8400,1,0,5,2040,1170,1914,1900,98136,47.5322,-122.391,969.3366428571428,12,1007.2028571428572,not buy,0.0,0.0
59,59,1954400510,2015-02-18,510000.0,3,2,1680,8080,1,0,3,1680,0,1987,1900,98074,47.6168,-122.045,679.4108910891089,2,679.4108910891089,not buy,0.0,0.0
60,60,8651611170,2015-02-13,868700.0,3,4,3840,6161,2,0,3,3840,0,2000,1900,98074,47.6336,-122.064,1517.7222528810255,2,679.4108910891089,not buy,0.0,0.0
61,61,7504110030,2015-02-11,785000.0,4,2,3300,10514,2,0,3,3300,0,1984,1900,98074,47.6323,-122.036,803.6655887388245,2,679.4108910891089,not buy,0.0,0.0
62,62,1592000260,2015-02-17,600000.0,3,2,2240,9314,2,0,3,2240,0,1984,1900,98074,47.6216,-122.032,693.407773244578,2,679.4108910891089,not buy,0.0,0.0
63,63,3275890310,2015-02-12,677100.0,3,2,2110,9199,1,0,3,2110,0,1993,1900,98074,47.6496,-122.083,792.2931188172627,2,679.4108910891089,not buy,0.0,0.0
64,64,6600220080,2015-02-04,395000.0,3,1,1280,15028,1,0,3,1280,0,1982,1900,98074,47.6304,-122.035,282.923875432526,2,679.4108910891089,sell,395000.0,10210186.871287128
65,65,6817850050,2015-02-17,810000.0,4,2,3280,25211,2,0,3,3280,0,1985,1900,98074,47.6398,-122.05,345.8347546705803,2,679.4108910891089,buy,810000.0,0.0
66,66,2025069037,2015-02-10,1050000.0,4,2,3250,48037,1,0,3,2030,1220,1985,1900,98074,47.6326,-122.07,235.28113745654392,2,679.4108910891089,sell,1050000.0,32636860.975247525
67,67,8078450340,2015-02-11,550000.0,4,2,2090,6926,2,0,3,2090,0,1990,1900,98074,47.6339,-122.022,854.7790932717297,2,679.4108910891089,not buy,0.0,0.0
68,68,3578400710,2015-02-06,390000.0,3,2,1010,14183,1,0,3,1010,0,1982,1900,98074,47.6232,-122.043,295.98533455545373,2,679.4108910891089,sell,390000.0,9636084.668316832
69,69,7504010760,2015-02-12,660000.0,3,3,2470,11900,2,0,3,2290,180,1976,1900,98074,47.641,-122.057,596.9949579831933,2,679.4108910891089,not buy,0.0,0.0
70,70,8078400020,2015-02-23,485000.0,3,2,1570,8111,2,0,3,1570,0,1984,1900,98074,47.6324,-122.028,643.6370361237825,2,679.4108910891089,not buy,0.0,0.0
71,71,3578401770,2015-02-26,400000.0,3,1,1410,9704,1,0,3,1140,270,1983,1900,98074,47.6203,-122.036,443.6933223413026,2,679.4108910891089,buy,400000.0,0.0
72,72,293070310,2015-02-13,949990.0,4,4,3970,7314,2,0,3,3970,0,2014,1900,98074,47.6173,-122.056,1398.0984905660378,2,679.4108910891089,not buy,0.0,0.0
73,73,1853080840,2015-02-11,889950.0,5,3,3700,7055,2,0,3,3700,0,2014,1900,98074,47.5929,-122.057,1357.8202409638552,2,679.4108910891089,not buy,0.0,0.0
74,74,7237550310,2014-05-12,1225000.0,4,4,5420,101930,1,0,3,3890,1530,2001,1900,98053,47.6561,-122.005,129.36230746590795,5,277.3663705127369,sell,1225000.0,28271954.146363273
75,75,3526069070,2014-05-28,799000.0,4,3,2580,209523,2,0,3,2580,0,1984,1900,98053,47.6932,-122.006,41.04769404790882,5,277.3663705127369,sell,799000.0,58114634.048940174
76,76,6979900390,2014-05-29,565000.0,4,2,2440,22594,2,0,3,2440,0,1996,1900,98053,47.6333,-121.97,269.17146144994246,5,277.3663705127369,not buy,0.0,0.0
77,77,1117200390,2014-05-07,1150000.0,4,4,4460,103382,2,0,3,4460,0,2001,1900,98053,47.634,-121.997,119.73651119150335,5,277.3663705127369,sell,1150000.0,28674690.116347767
78,78,8682291730,2014-05-13,530000.0,2,2,1680,4950,1,0,3,1680,0,2006,1900,98053,47.7194,-122.022,1152.509090909091,5,277.3663705127369,not buy,0.0,0.0
79,79,925069111,2015-05-07,568000.0,3,1,1760,235224,1,0,3,1760,0,1973,1900,98053,47.6735,-122.041,25.992041628405264,5,277.3663705127369,sell,568000.0,65243227.13748803
80,80,203100625,2014-05-29,672000.0,3,2,2620,21587,2,0,3,2620,0,1992,1900,98053,47.6384,-121.959,335.08166952332425,5,277.3663705127369,not buy,0.0,0.0
81,81,8682250090,2014-05-04,775000.0,2,2,2680,7392,1,0,3,2680,0,2004,1900,98053,47.717,-122.026,1128.530844155844,5,277.3663705127369,not buy,0.0,0.0
82,82,8682291720,2014-05-08,559950.0,2,2,1870,4950,1,0,3,1870,0,2006,1900,98053,47.7195,-122.022,1217.6367272727273,5,277.3663705127369,not buy,0.0,0.0
83,83,8807810050,2014-05-29,405000.0,3,2,1240,14404,1,0,3,1240,0,1988,1900,98053,47.6614,-122.06,302.6534296028881,5,277.3663705127369,not buy,0.0,0.0
84,84,8682260480,2014-05-28,429000.0,2,1,1350,6315,1,0,3,1350,0,2005,1900,98053,47.7141,-122.032,731.2361045130641,5,277.3663705127369,not buy,0.0,0.0
85,85,8682231330,2015-05-04,519000.0,2,2,1560,4823,1,0,3,1560,0,2004,1900,98053,47.7111,-122.032,1158.3072776280324,5,277.3663705127369,not buy,0.0,0.0
86,86,2621700010,2014-05-08,569000.0,4,2,2250,41688,2,0,3,2250,0,1980,1900,98053,47.6695,-122.05,146.91796200345422,5,277.3663705127369,buy,569000.0,0.0
87,87,7237550130,2014-05-20,1300000.0,4,3,4380,74052,1,0,3,4380,0,2001,1900,98053,47.6587,-122.009,188.9645114244045,5,277.3663705127369,buy,1300000.0,0.0
88,88,625069064,2015-05-07,625000.0,3,2,2570,47480,1,0,3,2570,0,1979,1900,98053,47.6854,-122.079,141.69123841617522,5,277.3663705127369,buy,625000.0,0.0
89,89,8682262170,2014-05-30,415000.0,2,1,1340,4664,1,0,3,1340,0,2004,1900,98053,47.7182,-122.034,957.7744425385936,5,277.3663705127369,not buy,0.0,0.0
90,90,425069020,2014-05-05,1090000.0,4,2,4340,141570,2,0,3,4340,0,1992,1900,98053,47.6805,-122.048,82.87603305785125,5,277.3663705127369,sell,1090000.0,39266757.07348817
91,91,2324800350,2014-05-06,860000.0,4,2,3740,32417,2,0,3,3740,0,2000,1900,98053,47.6728,-122.012,285.56127957553133,5,277.3663705127369,not buy,0.0,0.0
92,92,8682230400,2014-05-07,428000.0,2,2,1350,3900,1,0,3,1350,0,2003,1900,98053,47.7094,-122.03,1181.28,5,277.3663705127369,not buy,0.0,0.0
93,93,8682310310,2015-05-11,589000.0,2,2,1850,4667,1,0,3,1850,0,2010,1900,98053,47.7101,-122.014,1358.4735376044569,5,277.3663705127369,not buy,0.0,0.0
94,94,7203101610,2014-05-12,265000.0,2,1,1290,2828,2,0,3,1290,0,2008,1900,98053,47.6968,-122.025,1008.6492220650636,5,277.3663705127369,not buy,0.0,0.0
95,95,7202260330,2014-05-09,583000.0,4,2,2660,4000,2,0,3,2660,0,2001,1900,98053,47.6876,-122.038,1568.853,5,277.3663705127369,not buy,0.0,0.0
96,96,203101065,2014-05-28,420000.0,3,1,1820,22320,1,0,3,1250,570,1977,1900,98053,47.6441,-121.96,202.5483870967742,5,277.3663705127369,not buy,0.0,0.0
97,97,1225069038,2014-05-05,2280000.0,7,8,13540,307752,3,0,3,9410,4130,1999,1900,98053,47.6675,-121.986,79.74576932075178,5,277.3663705127369,sell,2280000.0,85360055.25803581
98,98,205000450,2014-05-14,633100.0,4,2,2470,33305,2,0,3,2470,0,1993,1900,98053,47.6303,-121.99,204.61457438823,5,277.3663705127369,not buy,0.0,0.0
99,99,1428000970,2014-05-21,540000.0,3,1,1300,62290,1,0,3,1300,0,1983,1900,98053,47.6529,-121.979,93.31449670894204,5,277.3663705127369,sell,540000.0,17277151.21923838
100,100,8682210650,2014-05-27,715000.0,2,2,2160,5581,1,0,3,2160,0,2002,1900,98053,47.7017,-122.023,1379.0109299408707,5,277.3663705127369,not buy,0.0,0.0
101,101,203101210,2014-05-07,379500.0,2,1,1640,17335,1,0,3,840,800,1978,1900,98053,47.6397,-121.953,235.6468416498413,5,277.3663705127369,not buy,0.0,0.0
102,102,7202340720,2014-05-20,620000.0,3,2,2480,9041,2,0,3,2480,0,2004,1900,98053,47.6797,-122.035,738.15728348634,5,277.3663705127369,not buy,0.0,0.0
103,103,1525069088,2015-05-04,442500.0,5,3,4240,226097,2,0,3,3410,830,1980,1900,98053,47.6472,-122.017,21.066489161731468,5,277.3663705127369,sell,442500.0,62711704.27381828
104,104,2425069069,2014-05-27,587000.0,3,2,2370,217800,2,0,3,2370,0,1979,1900,98053,47.6364,-121.984,29.010413223140496,5,277.3663705127369,sell,587000.0,60410395.4976741
105,105,3528000470,2014-05-09,851000.0,3,2,3560,107290,2,0,3,3560,0,1987,1900,98053,47.6652,-122.049,85.37761207941094,5,277.3663705127369,sell,851000.0,29758637.892311543
106,106,525069127,2014-05-23,1200000.0,4,3,4740,172497,2,0,3,4740,0,2003,1900,98053,47.6779,-122.075,74.88130228351797,5,277.3663705127369,sell,1200000.0,47844866.81433558
107,107,7202360170,2014-05-23,788600.0,4,2,3500,7200,2,0,3,3500,0,2005,1900,98053,47.6818,-122.025,1178.957,5,277.3663705127369,not buy,0.0,0.0
108,108,1825079086,2014-05-21,700000.0,4,2,3010,46173,2,0,3,3010,0,1996,1900,98053,47.6471,-121.964,163.18627769475668,5,277.3663705127369,buy,700000.0,0.0
109,109,203101530,2014-05-30,475000.0,2,2,1540,54450,2,0,3,1540,0,1983,1900,98053,47.638,-121.953,93.900826446281,5,277.3663705127369,sell,475000.0,15102598.874418525
110,110,8807810110,2014-05-22,432000.0,3,2,2200,14925,1,0,3,1100,1100,1982,1900,98053,47.6606,-122.059,311.5610050251256,5,277.3663705127369,not buy,0.0,0.0
111,111,7302000610,2015-05-08,316000.0,4,1,2120,46173,2,0,3,2120,0,1974,1900,98053,47.6503,-121.968,73.66694821649016,5,277.3663705127369,sell,316000.0,12806837.425684601
112,112,2325069054,2014-05-21,225000.0,2,1,1396,111949,1,0,3,1396,0,1940,1997,98053,47.6374,-122.007,21.63395832030657,5,277.3663705127369,sell,225000.0,31050887.812530387
113,113,8682302030,2014-05-21,413800.0,3,2,1440,4421,1,0,3,1440,0,2007,1900,98053,47.7188,-122.024,1007.4967654376838,5,277.3663705127369,not buy,0.0,0.0
114,114,8682320090,2014-05-19,818000.0,2,2,2380,9374,1,0,3,2380,0,2011,1900,98053,47.7095,-122.019,939.2950714742906,5,277.3663705127369,not buy,0.0,0.0
115,115,8682301600,2015-05-04,540000.0,3,2,1810,3930,2,0,3,1810,0,2008,1900,98053,47.7169,-122.02,1479.0229007633588,5,277.3663705127369,not buy,0.0,0.0
116,116,7203140270,2014-05-15,386380.0,3,2,1720,3600,2,0,3,1720,0,2010,1900,98053,47.6856,-122.013,1155.2762,5,277.3663705127369,not buy,0.0,0.0
117,117,7203110240,2014-05-22,660000.0,3,2,2450,4332,2,0,3,2450,0,2010,1900,98053,47.6942,-122.016,1639.94459833795,5,277.3663705127369,not buy,0.0,0.0
118,118,1321400060,2014-06-27,257500.0,3,2,1715,6819,2,0,3,1715,0,1995,1900,98003,47.3097,-122.327,406.4716234051914,6,323.6522448979592,not buy,0.0,0.0
119,119,2412600030,2014-06-23,235000.0,6,3,2180,7956,2,0,3,2180,0,1980,1900,98003,47.3054,-122.305,317.94117647058823,6,323.6522448979592,not buy,0.0,0.0
120,120,2190601055,2014-06-24,314900.0,4,1,2700,27072,1,0,3,1380,1320,1958,1900,98003,47.2877,-122.293,125.20624999999998,6,323.6522448979592,sell,314900.0,8761913.57387755
121,121,8588000315,2014-06-24,225000.0,3,1,1330,13102,1,0,3,1330,0,1968,1900,98003,47.3172,-122.322,184.84964127614103,6,323.6522448979592,buy,225000.0,0.0
122,122,3876540780,2014-06-19,221000.0,3,2,1640,7350,1,0,3,1140,500,1984,1900,98003,47.2625,-122.3,323.6522448979592,6,323.6522448979592,not buy,0.0,0.0
123,123,3861500340,2014-06-26,279900.0,3,1,1580,6620,1,0,3,1580,0,1988,1900,98003,47.2798,-122.303,455.11232628398784,6,323.6522448979592,not buy,0.0,0.0
124,124,7983100150,2014-06-02,199950.0,3,1,1010,7245,1,0,3,1010,0,1969,1900,98003,47.3338,-122.306,297.06857142857143,6,323.6522448979592,not buy,0.0,0.0
125,125,9358400080,2014-06-27,550000.0,4,3,4150,16197,2,0,3,4150,0,2006,1900,98003,47.3423,-122.183,365.5121318762734,6,323.6522448979592,not buy,0.0,0.0
126,126,3392100050,2014-06-25,205000.0,3,1,1230,8750,1,0,3,1230,0,1965,1900,98003,47.3266,-122.334,252.1851428571429,6,323.6522448979592,not buy,0.0,0.0
127,127,818500100,2014-06-03,174500.0,2,2,1240,2689,2,0,3,1240,0,1986,1900,98003,47.3236,-122.323,698.5191521011528,6,323.6522448979592,not buy,0.0,0.0
128,128,1321400650,2014-06-03,250000.0,3,2,1765,7652,2,0,3,1765,0,1996,1900,98003,47.3072,-122.328,351.67276529012025,6,323.6522448979592,not buy,0.0,0.0
129,129,2008000270,2015-01-15,291850.0,3,1,1060,9711,1,0,3,1060,0,1963,1900,98198,47.4095,-122.315,323.49638554216864,1,360.9099350046425,not buy,0.0,0.0
130,130,3601200465,2015-01-23,340000.0,4,2,3527,7200,2,0,3,3527,0,2005,1900,98198,47.3823,-122.3,508.3,1,360.9099350046425,not buy,0.0,0.0
131,131,7893207665,2015-01-28,210000.0,3,1,1030,4583,1,0,3,1030,0,1967,1900,98198,47.4231,-122.329,493.2227798385337,1,360.9099350046425,not buy,0.0,0.0
132,132,6600490300,2015-01-26,230000.0,2,2,1300,3608,1,0,3,1300,0,2004,1900,98198,47.3623,-122.309,686.1751662971175,1,360.9099350046425,not buy,0.0,0.0
133,133,7138000170,2015-01-02,147500.0,3,1,1230,10125,1,0,3,1230,0,1960,1900,98198,47.397,-122.299,156.8088888888889,1,360.9099350046425,sell,147500.0,3654213.091922005
134,134,3222049120,2015-01-23,400000.0,4,3,2320,13068,2,0,3,2320,0,1998,1900,98198,47.3497,-122.317,329.4765840220386,1,360.9099350046425,not buy,0.0,0.0
135,135,3222049055,2015-01-16,650000.0,3,1,2800,19386,1,1,3,1400,1400,1965,1900,98198,47.3554,-122.324,360.9099350046425,1,360.9099350046425,not buy,0.0,0.0
136,136,5018200155,2015-01-21,340000.0,3,1,2230,10403,1,0,3,1630,600,1968,1900,98198,47.4092,-122.295,351.798519657791,1,360.9099350046425,not buy,0.0,0.0
137,137,9536600105,2015-01-09,600000.0,3,2,2080,16740,1,0,3,1580,500,1966,1900,98198,47.3632,-122.324,385.8064516129032,1,360.9099350046425,not buy,0.0,0.0
138,138,3300790540,2015-01-09,292500.0,3,2,1690,7320,2,0,3,1690,0,1987,1900,98198,47.3889,-122.316,430.1188524590164,1,360.9099350046425,not buy,0.0,0.0
139,139,8851500050,2015-01-12,262000.0,4,1,1840,9009,2,0,3,1840,0,1965,1900,98198,47.406,-122.318,313.038961038961,1,360.9099350046425,not buy,0.0,0.0
140,140,2560805440,2015-01-29,283500.0,3,1,1250,5375,1,0,3,1250,0,1985,1900,98198,47.3787,-122.323,567.7384186046512,1,360.9099350046425,not buy,0.0,0.0
141,141,7686204750,2015-01-21,205000.0,4,1,1420,8063,1,0,3,940,480,1962,1900,98198,47.4174,-122.316,273.67233039811487,1,360.9099350046425,not buy,0.0,0.0
142,142,2414600126,2015-04-15,229500.0,3,1,1780,7470,1,0,3,1050,730,1960,1900,98146,47.5123,-122.337,330.7012048192771,4,464.5363321799308,not buy,0.0,0.0
143,143,2586800270,2015-04-07,425000.0,4,1,1260,7645,1,0,3,1260,0,1925,1900,98146,47.5044,-122.35,598.3911052975801,4,464.5363321799308,not buy,0.0,0.0
144,144,3919000030,2015-04-20,395000.0,5,2,2070,9600,1,0,3,1270,800,1962,1900,98146,47.4997,-122.364,442.89375,4,464.5363321799308,not buy,0.0,0.0
145,145,2641800060,2015-04-27,239000.0,3,1,940,8571,1,0,3,940,0,1950,1900,98146,47.5006,-122.336,300.151207560378,4,464.5363321799308,buy,239000.0,0.0
146,146,223039330,2015-04-07,1050000.0,3,3,3250,5093,2,0,3,3250,0,2004,1900,98146,47.5123,-122.39,2219.163557824465,4,464.5363321799308,not buy,0.0,0.0
147,147,7902200015,2015-04-29,700000.0,3,1,1820,15570,1,0,3,1820,0,1948,1900,98146,47.5068,-122.386,483.9306358381503,4,464.5363321799308,not buy,0.0,0.0
148,148,7211402305,2015-04-15,240000.0,3,1,1780,5000,1,0,3,1080,700,1957,1900,98146,47.5105,-122.36,516.672,4,464.5363321799308,not buy,0.0,0.0
149,149,723049333,2015-04-05,285000.0,3,1,1490,10367,1,0,3,1010,480,1957,1900,98146,47.4973,-122.347,295.91395775055463,4,464.5363321799308,buy,285000.0,0.0
150,150,1721800190,2015-04-09,300000.0,2,1,1300,6120,1,0,3,820,480,1945,1900,98146,47.5088,-122.338,527.6470588235294,4,464.5363321799308,not buy,0.0,0.0
